Species,BeakLength,BeakWidth,BeakDepth,Tarsus,Wing.Chord,Mass,Sex
fortis,11.79,9.61,10.57,21.25,70,21.3,m
fortis,11.44,8.71,10.09,19.57,62,18.8,f
fortis,10.7,8.96,10.39,20.13,70,19,m
fortis,11.48,9.31,10.4,20.13,63,19.2,f
fortis,10.65,8.54,9.41,19.65,65,18.3,f
fortis,10.86,8.82,10.28,19.72,68,19.8,f
fortis,10.3,8.36,9.77,17.53,68,16.9,f
fortis,12.79,10.87,11.85,21.21,71,22.8,f
fortis,11.69,9.69,11,20.95,71,20.7,m
fortis,13.98,11.48,13,22.3,76,26.8,m
fortis,10.77,8.23,9.8,18.93,66,19.8,f
fortis,11.1,8.87,9.91,20.56,70,18.1,f
fortis,11.31,8.99,10.32,19.96,71,21.3,m
fortis,12.07,9.31,10.23,20.5,69,20.8,f
fortis,12.79,10.45,12.39,20.55,64,25.4,m
fortis,10.55,8.94,9.89,19.48,62,19,f
fortis,11.15,8.48,9.99,18.75,67,18.3,f
fortis,11.25,8.88,9.75,20.29,66,19.6,f
fortis,13.78,12.19,14.26,22.36,72,28.1,f
fortis,12.79,11.5,13.51,20.57,74,24.2,m
fortis,13.24,10.4,12.25,20.89,76,25.5,m
fortis,13,11.73,13.55,21.23,75,27.1,m
fortis,11.32,8.55,9.76,20.67,68,18.3,f
fortis,11.53,9.92,10.76,20.41,66,19.1,f
fortis,13.63,11.39,13.34,22.2,71,26.6,f
fortis,11.14,9.72,11.04,19.57,67,20.3,f
fortis,13.66,11.12,12.81,23.05,76,26.8,m
fortis,11.01,8.73,9.95,20.38,66,19.9,f
fortis,13.21,11.31,12.71,21.37,71,29,m
fortis,11.81,10.46,12.08,20.67,75,24,m
fortis,13.28,11.27,12.86,21.29,76,28.9,m
fortis,12.52,10.41,12.2,21,74,23.7,f
fortis,10.9,8.99,9.89,19.88,69,19.8,f
fortis,11.61,9.68,10.9,21.4,66,21.4,m
fortis,10.92,8.36,9.45,18.35,63,17.9,f
fortis,11.92,10.25,11.65,20.57,73,20.9,m
fortis,10.69,9.37,9.88,19.51,68,20,m
fortis,11.81,9.18,10.67,19.26,71,22.4,f
fortis,10.82,9.03,9.87,18.22,65,19.4,f
fortis,11,9.06,10.58,20.53,69,20.9,m
fortis,11.46,9.66,10.31,20.52,69,21.7,f
fortis,12.82,11.06,12.12,21.51,76,23.6,m
fortis,12.25,10.08,12.1,21.53,68,22.7,f
fortis,11.1,10.02,11.03,19.02,68,20.5,m
fortis,11.27,8.6,9.62,20.45,63,18.7,f
fortis,10.92,9.19,9.85,19.78,68,20.4,f
fortis,13.09,10.1,12.44,20.8,72,23.9,f
fortis,12.57,10.37,12.74,20.63,73,24.5,m
fortis,10.77,9.57,10.35,20.57,69,22.5,f
fortis,11.38,9.18,10.24,20.52,69,20.9,m
fuliginosa,8.84,6.74,7.29,20.31,60,13.4,m
fuliginosa,7.89,7.2,7.03,19.05,60,13.4,m
fuliginosa,8.15,6.9,6.79,18.12,59,14.2,f
fuliginosa,7.76,6.5,7.2,19.68,60,14.2,f
fuliginosa,8.26,6.52,6.61,17.44,60,14.5,m
fuliginosa,7.95,6.69,7.12,19.48,61,14.5,m
fuliginosa,8.06,7.21,7.22,18.67,61,13.5,m
fuliginosa,8.67,6.67,6.68,17.67,60,13.5,m
